"fecha","Freq"
"2021-01-01",964
"2021-01-02",1673
"2021-01-03",1700
"2021-01-04",2854
"2021-01-05",3005
"2021-01-06",3150
"2021-01-07",3142
"2021-01-08",3009
"2021-01-09",2145
"2021-01-10",1808
"2021-01-11",1497
"2021-01-12",3311
"2021-01-13",3248
"2021-01-14",3127
"2021-01-15",1821
"2021-01-16",2175
"2021-01-17",2192
"2021-01-18",3232
"2021-01-19",3431
"2021-01-20",3429
"2021-01-21",3230
"2021-01-22",3202
"2021-01-23",2139
"2021-01-24",1812
"2021-01-25",2790
"2021-01-26",2735
"2021-01-27",3218
"2021-01-28",2725
"2021-01-29",3037
"2021-01-30",1144
"2021-01-31",1623
"2021-02-01",2835
"2021-02-02",2680
"2021-02-03",3594
"2021-02-04",3608
"2021-02-05",3571
"2021-02-06",2469
"2021-02-07",2250
"2021-02-08",3478
"2021-02-09",3781
"2021-02-10",3736
"2021-02-11",3681
"2021-02-12",3586
"2021-02-13",2240
"2021-02-14",2259
"2021-02-15",1618
"2021-02-16",2074
"2021-02-17",3857
"2021-02-18",3782
"2021-02-19",3972
"2021-02-20",2780
"2021-02-21",2431
"2021-02-22",3527
"2021-02-23",3815
"2021-02-24",3785
"2021-02-25",3888
"2021-02-26",3911
"2021-02-27",2431
"2021-02-28",2192
"2021-03-01",3582
"2021-03-02",3917
"2021-03-03",3416
"2021-03-04",3824
"2021-03-05",4158
"2021-03-06",3013
"2021-03-07",2613
"2021-03-08",3784
"2021-03-09",3966
"2021-03-10",4063
"2021-03-11",3897
"2021-03-12",4053
"2021-03-13",2722
"2021-03-14",2643
"2021-03-15",2373
"2021-03-16",2450
"2021-03-17",3473
"2021-03-18",3481
"2021-03-19",3587
"2021-03-20",2044
"2021-03-21",2776
"2021-03-22",3461
"2021-03-23",4003
"2021-03-24",1499
"2021-03-25",1164
"2021-03-26",2879
"2021-03-27",2388
"2021-03-28",1906
"2021-03-29",3448
"2021-03-30",3850
"2021-03-31",3808
"2021-04-01",2953
"2021-04-02",2426
"2021-04-03",2422
"2021-04-04",2211
"2021-04-05",3614
"2021-04-06",4047
"2021-04-07",3830
"2021-04-08",2775
"2021-04-09",1250
"2021-04-10",676
"2021-04-11",1804
"2021-04-12",3680
"2021-04-13",3640
"2021-04-14",3658
"2021-04-15",3709
"2021-04-16",3697
"2021-04-17",2877
"2021-04-18",2678
"2021-04-19",4829
"2021-04-20",3923
"2021-04-21",2820
"2021-04-22",3611
"2021-04-23",3410
"2021-04-24",2729
"2021-04-25",2785
"2021-04-26",3739
"2021-04-27",3834
"2021-04-28",3971
"2021-04-29",3867
"2021-04-30",3814
"2021-05-01",2647
"2021-05-02",2791
"2021-05-03",2973
"2021-05-04",3205
"2021-05-05",3345
"2021-05-06",3481
"2021-05-07",3383
"2021-05-08",2865
"2021-05-09",2142
"2021-05-10",2923
"2021-05-11",3273
"2021-05-12",3317
"2021-05-13",3202
"2021-05-14",3487
"2021-05-15",3752
"2021-05-16",2839
"2021-05-17",4722
"2021-05-18",4913
"2021-05-19",3154
"2021-05-20",1296
"2021-05-21",988
"2021-05-22",569
"2021-05-23",998
"2021-05-24",1916
"2021-05-25",2270
"2021-05-26",2679
"2021-05-27",3932
"2021-05-28",3975
"2021-05-29",2823
"2021-05-30",2587
"2021-05-31",2901
"2021-06-01",3191
"2021-06-02",3310
"2021-06-03",3353
"2021-06-04",3308
"2021-06-05",2315
"2021-06-06",2372
"2021-06-07",3058
"2021-06-08",3190
"2021-06-09",3251
"2021-06-10",3483
"2021-06-11",3489
"2021-06-12",3396
"2021-06-13",2953
"2021-06-14",3117
"2021-06-15",3037
"2021-06-16",2630
"2021-06-17",2744
"2021-06-18",3060
"2021-06-19",2512
"2021-06-20",1634
"2021-06-21",1754
"2021-06-22",3079
"2021-06-23",2551
